sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
21142530,,Default,simple,Default Category/Pumps/Circulator Pumps,base,PUMP CIRCULATOR 13.6GPM 3 TO 38W 115V,"Grundfos Circulator Pump, Model: UPSe 15-58 F 115V 9H, 13.6 gpm, 19 ft Maximum Head, 3 to 38 W, 115 V, 60 Hz, 175 psi Maximum, Flanged Connection Type, PES Composite Impeller, 1 ph, 32 to 131 deg F, NEMA 1, Cast Iron, Electro-Coated, 6.5 in L x 5.3 in W, Additional Information: Class B Insulation, &lt;25 dBA Sound Level","Grundfos UPSe 15-58 F 115V 9H Circulator Pump, 13.6 gpm, 3 to 38 W, 115 V, 60 Hz, 175 psi Max Pressure",6.4,1,Taxable Goods,"Catalog, Search",14,,,,pump-circulator-13-6gpm-3-to-38w-115v,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,1,0,0,1,1,0,10000,1,1,,1,1,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
15768931,,Default,simple,"Default Category/Pipe Hangers, Supports & Fasteners/Hangers, Straps & Brackets",base,HANGER RLR ADJUSTABLE 6IN 780LB CS/IRON,"TAYLOR walraven Adjustable Roller Hanger, 93 Series, 6 in Pipe, 780 lb Load, Carbon Steel/Iron, Finish: Plain, 7 in Overall Width, 11-3/8 in Overall Height","TAYLOR walraven Adjustable Roller Hanger, 6 in Pipe, 780 lb Load, Carbon Steel/Iron, Plain",,1,Taxable Goods,"Catalog, Search",17,,,,hanger-rlr-adjustable-6in-780lb-cs-iron,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,1,0,0,1,1,0,10000,1,1,,1,1,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
14683204,,Default,simple,Default Category/Pipe Fittings/Black Malleable Fittings & Flanges,base,CAP PIPE CAP 3/8IN FNPT IRON BK MI,"CB SUPPLIES Pipe Cap, Cap Fitting, 3/8 in Connection, FNPT Connection, Iron, Material Construction: Malleable Iron, Black, Additional Information: Import","CB SUPPLIES Pipe Cap, 3/8 in FNPT, Iron, Black",,1,Taxable Goods,"Catalog, Search",21,,,,cap-pipe-cap-3-8in-fnpt-iron-bk-mi,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,1,0,0,1,1,0,10000,1,1,,1,1,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
10097875,,Default,simple,Default Category/Pipe Fittings/MJ Fittings,base,TEE SAN TEE 3IN 3IN 2IN IRON MECH JT,"BIBBY-STE-CROIX Sanitary Tee, Tee Fitting, 3 in Connection Size 1, Connection Type 1: Mechanical Joint, 3 in Connection Size 2, Connection Type 2: Mechanical Joint, Connection Size 3: 2 in, Connection Type 3: Mechanical Joint, Mechanical Joint|Mechanical Joint|Mechanical Joint Connection, Iron, Material Construction: Cast Iron, 5-9/16 in L","BIBBY-STE-CROIX Sanitary Tee, 3 in Mechanical Joint x 3 in Mechanical Joint x 2 in Mechanical Joint, Iron",,1,Taxable Goods,"Catalog, Search",10,,,,tee-san-tee-3in-3in-2in-iron-mech-jt,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,1,0,0,1,1,0,10000,1,1,,1,1,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
21746182,,Default,simple,Default Category/Pipe Fittings/Galvanized Steel Fittings,base,BUSHING HEXAGON 1/2IN 1/8IN GALV,"PHC Distribution Hexagon Bushing, Connection Size 1: 1/2 in, Connection Size 2: 1/8 in, Finish: Galvanized","PHC Distribution Hexagon Bushing, 1/2 in 1/8 in, Galvanized",,1,Taxable Goods,"Catalog, Search",14,,,,bushing-hexagon-1-2in-1-8in-galv,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,1,0,0,1,1,0,10000,1,1,,1,1,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
10018434,,Default,simple,Default Category/Water Heaters/Commercial/Residential,base,HEATER WTR COMMERCIAL-GR 50GAL NAT GAS,"AO Smith&reg; Commercial-Grade Water Heater, 400 Series, 50 gal Capacity, 40000 Btu/hr, 81 gal First Hour Delivery, 0.62 Energy Factor, 43 gph Recovery Rate, Atmospheric Vent, NPT Connection, 150 psi, Energy Star Compliant: No, Natural Gas Fuel, Piezo Pushbutton Ignition, Finish: Glass, Contains Lead, 53-1/4 in H x 24 in W x 24 in D","AO Smith&reg; ProLine&reg; 400 Series Commercial-Grade Water Heater, 50 gal, 40000 Btu/hr, Natural Gas",177,1,Taxable Goods,"Catalog, Search",14,,,,heater-wtr-commercial-gr-50gal-nat-gas,,,,/a/m/american-residential-proline-master-tall-atmospheric-vent-gas-water-heater.png,,/a/m/american-residential-proline-master-tall-atmospheric-vent-gas-water-heater.png,,/a/m/american-residential-proline-master-tall-atmospheric-vent-gas-water-heater.png,,/a/m/american-residential-proline-master-tall-atmospheric-vent-gas-water-heater.png,,"3/13/25, 9:14 AM","3/14/25, 5:58 AM",,,Block after Info Column,,,,No,,,,,,,Use config,,,100,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/a/m/american-residential-proline-master-tall-atmospheric-vent-gas-water-heater.png,,,,,,,,,,,,,,
10005753,,Default,simple,Default Category/Pipe Fittings/Plastic Fittings & Flanges,base,NIPPLE PIPE NIP TBE|TBE 2IN 2IN 4-1/2IN,"Xirtec&reg; Pipe Nipple, Nipple Fitting, 2 in Connection Size 1, Connection Type 1: TBE, 2 in Connection Size 2, Connection Type 2: TBE, TBE|TBE Connection, 4-1/2 in Length, 2-3/8 in Diameter, PVC, Material Construction: PVC, Gray, SCH 80, 140 deg F","Xirtec&reg; Pipe Nipple, 2 in TBE x 2 in TBE, 4-1/2 in, PVC, Gray, SCH 80",,1,Taxable Goods,"Catalog, Search",14,,,,nipple-pipe-nip-tbe-tbe-2in-2in-4-1-2in,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
HVACR_12FA,,Default,simple,Default Category/Pipe Fittings/Compression Fittings,base,ASSEMBLY FTG COMPRESSION FTG ASSY FEM,"Uponor Fitting Assembly, Compression Fitting Assembly Fitting, 1/2 in Connection Size 1, Connection Type 1: Female, Female Connection, Brass, Material Construction: CA360 Brass, 125 psi, 220 deg F","Uponor Fitting Assembly, 1/2 in Female, Brass",,1,Taxable Goods,"Catalog, Search",17,,,,assembly-ftg-compression-ftg-assy-fem,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
15219305,,Default,simple,Default Category/Pipe Fittings/Copper Fittings & Flanges,base,ADAPTER ADPTR C|FNPT 1IN 1/2IN COPPER C,"BMI&reg; Adapter, Adapter Fitting, 1 in Connection Size 1, Connection Type 1: C, 1/2 in Connection Size 2, Connection Type 2: FNPT, C|FNPT Connection, Copper, Material Construction: Copper","BMI&reg; Adapter, 1 in C x 1/2 in FNPT, Copper",,1,Taxable Goods,"Catalog, Search",21,,,,adapter-adptr-c-fnpt-1in-1-2in-copper-c,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10269992,,Default,simple,Default Category/Valves/Mixing Valves,base,VALVE MXG THRMSTC 1/2IN FNPT 145PSI BRZ,"Zurn&reg; Aqua-Gard&reg; Thermostatic Mixing Valve, 1/2 in Nominal, FNPT Connection, 145 psi, 0.25 to 10 gpm Flow Rate, Water Media, 5-1/4 in Inlet to Outlet Length, Bronze Body, FKM Seal, Stainless Steel Trim, Noryl/Polysufone Softgoods, 95 to 115 deg F, 5-7/16 in H","Zurn&reg; Aqua-Gard&reg; Thermostatic Mixing Valve, 1/2 in Nominal, FNPT, 0.25 to 10 gpm, 145 psi, 95 to 115 deg F",2.7,1,Taxable Goods,"Catalog, Search",10,,,,valve-mxg-thrmstc-1-2in-fnpt-145psi-brz,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
15218393,,Default,simple,Default Category/Pipe & Tubing/ABS Pipe,base,PIPE CORE SOL 4IN SLVT WELD 12FT SCH 40,"DRAIN-WAY&reg; Solid Core Pipe, 4 in Nominal Pipe, Solvent Weld Connection, 12 ft Length, SCH 40, ABS","DRAIN-WAY&reg; Solid Core Pipe, 4 in Nominal Pipe, Solvent Weld, 12 ft, SCH 40, ABS",,1,Taxable Goods,"Catalog, Search",14,,,,pipe-core-sol-4in-slvt-weld-12ft-sch-40,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10053999,,Default,simple,Default Category/Drinking Fountains & Bottle Filling Stations/Ice Makers & Parts,base,BOX ICEMAKER PEX 1/4IN QTR-TURN 3-1/4IN,"Oatey&reg; Icemaker Box With Nails, PEX Connection, 1/4 in Valve, Quarter-Turn Valve, 3-1/4 in Box Width, 2-1/2 in Box Depth, 4 in Box Height, Polystyrene Box, White Box, 5 in Faceplate Width, 6 in Faceplate Height, 1/2 in Faceplate Thickness, Brass Valve","Oatey&reg; Icemaker Box With Nails, PEX, 1/4 in Valve, Quarter-Turn Valve, 3-1/4 in W Bo, 2-1/2 in D Bo, 4 in H Box",,1,Taxable Goods,"Catalog, Search",14,,,,box-icemaker-pex-1-4in-qtr-turn-3-1-4in,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
14437183,,Default,simple,Default Category/Pipe Fittings/Brass Fittings & Flanges,base,NIPPLE PIPE NIP MNPT 1IN 5IN BRS MNPT,"BOSHART Pipe Nipple, Nipple Fitting, 1 in Connection Size 1, Connection Type 1: MNPT, MNPT Connection, 5 in Length, Brass, Material Construction: Red Brass","BOSHART Pipe Nipple, 1 in MNPT, 5 in, Brass",,1,Taxable Goods,"Catalog, Search",14,,,,nipple-pipe-nip-mnpt-1in-5in-brs-mnpt,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
16634861,,Default,simple,Default Category/Pipe Fittings/Carbon Steel Fittings & Flanges,base,FLANGE FACE RSD FLG THREADED|THREADED,"CCTF Raised Face Flange, Flange Fitting, 1/2 in Connection Size 1, Connection Type 1: Threaded, 1/2 in Connection Size 2, Connection Type 2: Threaded, Threaded|Threaded Connection, Steel, Material Construction: Forged Carbon Steel, 4 Bolt Holes, Pressure Class: 150 lb, Additional Information: 0.93 in ID x 3.75 in OD, 2.38 in Dia Bolt Circle, 0.88 in L Through Hub","CCTF Raised Face Flange, 1/2 in Threaded x 1/2 in Threaded, Steel, 4-Bolt Hole, 150 lb",,1,Taxable Goods,"Catalog, Search",17,,,,flange-face-rsd-flg-threaded-threaded,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
HVACR_488-14,,Default,simple,Default Category/Valves/Ball Valves,base,VALVE BALL 1-1/2IN THD HDL BRS FBV-3C,"WATTS&reg; Ball Valve, Model: FBV-3C, Threaded Connection, 1-1/2 in Nominal, 600 lb/sq-in WOG Non-Shock, 150 lb/sq-in WSP, 1-1/4 in Opening, Handle Operator, Brass Body, Virgin PTFE Seat, Brass Stem, Fluorocarbon Elastomeric Seal, Brass Trim, PTFE Packing, Steel/Vinyl Handle, -40 to 400 deg F, 3-1/2 in L","WATTS&reg; FBV-3C Ball Valve, 1-1/2 in Nominal, Threaded, 600 lb/sq-in WOG Non-Shock, 150 lb/sq-in WSP, Brass Body",,1,Taxable Goods,"Catalog, Search",21,,,,valve-ball-1-1-2in-thd-hdl-brs-fbv-3c,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
14680266,,Default,simple,"Default Category/Bathroom Fixtures/Toilets, Toilet Seats & Urinals",base,KIT RETROFIT BAT 1.6GPF CHROME,"DELTA&reg; Battery Retrofit Kit With H2Optics&reg; Technology, 1.6 gpf Gallons per Flush, Finish: Chrome, For Use With: TECK&reg; II 81TBT, 81THW Series Electronic Exposed Water Closet Flush Valves","DELTA&reg; Battery Retrofit Kit With H2Optics&reg; Technology, Gallons per Flush: 1.6 gpf, Chrome",,1,Taxable Goods,"Catalog, Search",10,,,,kit-retrofit-bat-1-6gpf-chrome,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
17093456,,Default,simple,Default Category/Pipe Fittings/Malleable Fittings & Flanges,base,PIPE RDY-CUT 1IN THD 72IN STL BK,"BMI&reg; Ready-Cut Pipe With Plastic Cap, 1 in Nominal Pipe, Threaded Connection, 72 in Length, Steel, Finish: Black","BMI&reg; Ready-Cut Pipe With Plastic Cap, 1 in Nominal Pipe, Threaded, 72 in, Steel, Black",,1,Taxable Goods,"Catalog, Search",14,,,,pipe-rdy-cut-1in-thd-72in-stl-bk,,,,,,,,,,,,"3/13/25, 9:14 AM","3/13/25, 9:14 AM",,,Block after Info Column,,,,,,,,,,,Use config,,,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
